numar matricol   nume si prenume               grupa  proba practica          puncte         puncte examen 
6479              Alexandru-51                   1017  29             0 1 0 1 1 1 0 0 0 0  41 
1994              Cristina-88                    1010  16             1 1 1 1 0 1 0 0 1 1  1 
7381              Andreea-57                     1016  24             0 1 1 0 0 0 1 0 1 1  29 
8126              Tudor-61                       1016  5              0 1 0 1 1 1 1 0 1 1  21 
8715              Camelia-6                      1011  8              0 1 1 0 0 1 1 1 0 0  24 
2260              Silvia-57                      1002  4              1 0 1 0 1 0 1 0 0 0  36 
3126              Anda-10                        1017  7              0 0 1 0 0 0 1 1 1 1  16 
7554              Liana-44                       1011  26             1 1 0 0 1 0 0 0 1 0  41 
8290              Madalina-89                    1009  24             0 0 1 1 0 0 0 0 1 0  5 
9204              Florentina-89                  1008  0              0 1 1 1 1 0 1 1 0 1  38 
3918              Aurel-63                       1019  8              1 1 1 0 0 1 0 1 1 0  48 
8432              Ion-66                         1013  21             1 0 1 1 1 1 0 1 1 0  38 
3748              Nicolae-56                     1018  12             1 1 0 1 1 0 1 1 1 1  6 
4494              Alin-51                        1007  5              0 1 0 1 1 1 0 1 0 1  7 
1551              Ionela-95                      1015  1              1 1 0 1 0 0 1 0 0 1  3 
3675              Florentina-22                  1007  30             0 0 0 0 0 1 1 0 1 1  24 
7127              Camelia-11                     1016  14             1 0 1 0 1 1 1 0 0 1  20 
1294              Elena-59                       1009  1              0 1 1 1 0 1 0 0 0 1  21 
1313              Bogdana-36                     1007  4              0 1 0 0 0 0 0 1 1 0  43 
8699              Ionela-49                      1008  14             1 0 0 1 0 0 1 1 0 1  40 
7970              Vlad-8                         1011  26             1 1 0 0 0 0 1 1 0 0  16 
8270              Nicolae-80                     1015  21             0 1 0 0 1 0 0 0 0 0  29 
3996              Alexandra-64                   1008  20             1 0 0 0 1 0 0 1 1 0  46 
7420              Diana-43                       1002  12             1 1 0 1 0 1 0 1 0 1  47 
9317              Bianca-49                      1019  29             1 0 1 0 1 1 1 1 0 0  40 
2590              Marinela-31                    1015  17             0 1 1 0 0 0 1 1 1 0  7 
5892              Marinela-9                     1001  8              1 1 0 0 0 0 1 1 0 0  19 
6254              Tudor-43                       1003  14             1 0 1 0 1 0 0 1 1 1  35 
9709              Robert-91                      1009  18             1 1 0 1 0 1 0 1 1 0  10 
1919              Florin-78                      1009  20             0 1 1 1 1 0 0 0 0 1  8 
7791              Laurentiu-49                   1017  2              0 1 0 1 1 0 0 1 1 1  48 
7118              Sorina-41                      1016  30             0 1 1 0 0 0 1 0 1 0  16 
3189              Sorina-37                      1018  5              1 1 0 0 0 1 1 1 1 1  23 
1422              Ioana-38                       1006  15             1 1 1 1 0 1 0 0 0 0  5 
5985              Florentina-15                  1001  20             1 0 0 0 0 1 0 0 0 1  37 
7427              Nicolae-78                     1017  20             0 0 1 0 0 0 1 0 0 0  30 
6295              Florentina-41                  1013  17             0 0 0 0 0 1 0 1 1 1  47 
9764              Estera-76                      1007  2              1 1 0 0 1 1 0 1 1 1  0 
1264              Liviu-83                       1003  5              1 0 1 0 1 0 1 1 0 1  18 
9097              Petre-48                       1011  22             0 0 1 1 0 0 1 1 1 0  39 
4070              Laurentiu-8                    1013  3              0 1 1 1 1 1 1 1 1 0  25 
4115              Ruxandra-12                    1003  26             1 1 1 0 1 1 0 0 1 0  20 
7919              Lucia-85                       1007  7              0 0 1 0 0 1 1 0 1 0  50 
9544              Mihai-90                       1012  29             0 0 0 0 1 0 1 1 1 1  32 
4054              Gabriela-89                    1005  22             1 1 1 0 1 0 1 1 0 0  30 
2139              Alexandru-10                   1011  26             0 1 1 1 1 0 1 1 0 0  15 
8742              Cristian-98                    1005  30             1 0 0 0 0 1 1 0 0 0  14 
1685              Nicolae-97                     1006  18             1 1 1 0 1 1 0 1 0 1  22 
9288              Vlad-92                        1005  22             1 1 1 1 1 0 0 1 0 0  5 
8000              Anda-86                        1004  16             0 1 1 1 0 0 0 1 1 0  10 
9023              Silvia-54                      1019  30             1 0 0 0 1 0 1 0 1 1  17 
9934              Liviu-11                       1008  11             0 0 0 1 0 0 0 0 1 1  48 
9313              Ciprian-70                     1003  0              1 0 0 1 0 1 0 1 1 1  20 
3368              Tiberiu-9                      1001  29             1 1 0 1 1 0 0 0 0 0  7 
9554              Gabriela-30                    1004  12             1 0 0 1 1 1 1 1 0 0  42 
9210              Sorina-22                      1002  15             1 1 1 0 1 0 0 1 1 0  22 
7172              Marian-26                      1013  29             0 1 0 0 0 0 0 1 0 0  19 
1406              Camelia-93                     1011  16             0 1 1 1 1 0 1 0 0 0  32 
6626              Teodor-54                      1019  25             0 0 1 1 0 0 0 0 0 0  45 
5927              Cristina-72                    1004  24             0 0 1 1 1 0 1 0 1 1  34 
1405              Loredana-14                    1007  12             0 1 0 0 0 1 1 1 1 1  22 
1780              Petre-8                        1015  9              0 1 1 0 1 1 1 1 0 0  35 
1029              Loredana-8                     1019  12             1 1 0 1 1 1 1 1 1 1  9 
2002              Silvia-54                      1018  13             1 1 0 1 1 1 0 1 0 1  47 
4051              Alexandru-39                   1019  23             1 0 0 0 1 0 0 1 1 0  24 
8657              Florentina-67                  1004  24             1 1 0 1 1 0 1 0 1 0  42 
7054              Adina-18                       1007  22             1 1 1 1 1 1 1 0 1 1  41 
